Date,Open,High,Low,Close,Adj Close,Volume
2014-01-03,1221.699951,1247.000000,1218.599976,1229.300049,1229.300049,740
2014-01-10,1235.000000,1252.699951,1234.000000,1240.000000,1240.000000,216
2014-01-17,1239.699951,1264.199951,1235.199951,1262.599976,1262.599976,431
2014-01-24,1258.300049,1269.400024,1237.500000,1242.199951,1242.199951,137218
2014-01-31,1243.599976,1273.699951,1238.400024,1257.599976,1257.599976,57371
2014-02-07,1258.300049,1303.500000,1257.900024,1300.400024,1300.400024,2154
2014-02-14,1301.699951,1330.599976,1301.699951,1317.099976,1317.099976,1751
2014-02-21,1320.000000,1343.900024,1317.400024,1331.599976,1331.599976,1155
2014-02-28,1329.800049,1354.099976,1321.099976,1351.699951,1351.699951,952
2014-03-07,1349.500000,1374.500000,1329.199951,1372.199951,1372.199951,364
2014-03-14,1376.099976,1391.400024,1325.800049,1330.500000,1330.500000,235
2014-03-21,1339.099976,1339.099976,1294.699951,1294.699951,1294.699951,228
2014-03-28,1292.199951,1299.400024,1277.300049,1284.400024,1284.400024,256606
2014-04-04,1285.500000,1323.800049,1284.400024,1320.099976,1320.099976,2567
2014-04-11,1319.000000,1330.000000,1291.500000,1293.400024,1293.400024,946
2014-04-18,1290.000000,1299.199951,1272.400024,1290.500000,1290.500000,500
2014-04-25,1293.800049,1305.400024,1278.000000,1283.099976,1283.099976,2269
2014-05-02,1276.699951,1314.199951,1276.699951,1287.400024,1287.400024,181
2014-05-09,1287.300049,1306.900024,1281.199951,1293.500000,1293.500000,132
2014-05-16,1293.300049,1295.000000,1287.400024,1294.900024,1294.900024,89
2014-05-23,1293.199951,1293.400024,1250.900024,1256.300049,1256.300049,168857
2014-05-30,1255.099976,1259.599976,1240.500000,1253.000000,1253.000000,43916
2014-06-06,1253.400024,1274.500000,1246.300049,1273.599976,1273.599976,2930
2014-06-13,1272.500000,1321.000000,1260.900024,1313.699951,1313.699951,1570
2014-06-20,1321.400024,1325.599976,1306.800049,1316.099976,1316.099976,1514
2014-06-27,1317.400024,1331.400024,1311.800049,1320.400024,1320.400024,2850
2014-07-04,1318.699951,1343.699951,1313.199951,1338.699951,1338.699951,155
2014-07-11,1337.900024,1339.000000,1294.099976,1316.699951,1316.699951,645
2014-07-18,1322.699951,1322.699951,1290.599976,1290.599976,1290.599976,63
2014-07-25,1294.800049,1310.900024,1280.599976,1281.300049,1281.300049,217804
2014-08-01,1284.099976,1313.099976,1279.699951,1310.800049,1310.800049,10096
2014-08-08,1310.800049,1321.400024,1305.000000,1313.900024,1313.900024,1681
2014-08-15,1311.699951,1312.800049,1272.000000,1273.699951,1273.699951,1095
2014-08-22,1276.000000,1293.699951,1273.699951,1288.699951,1288.699951,1491
2014-08-29,1289.500000,1289.699951,1260.400024,1265.099976,1265.099976,1492
2014-09-05,1263.199951,1268.400024,1237.400024,1237.400024,1237.400024,510
2014-09-12,1227.000000,1238.300049,1216.199951,1225.699951,1225.699951,81
2014-09-19,1218.300049,1221.199951,1209.500000,1221.199951,1221.199951,23
2014-09-26,1214.099976,1222.199951,1204.000000,1214.199951,1214.199951,26710
2014-10-03,1212.400024,1229.000000,1182.800049,1224.599976,1224.599976,1371
2014-10-10,1223.500000,1247.000000,1217.000000,1240.500000,1240.500000,631
2014-10-17,1237.400024,1251.000000,1227.900024,1228.500000,1228.500000,517
2014-10-24,1229.400024,1232.699951,1195.800049,1198.099976,1198.099976,1032
2014-10-31,1199.599976,1199.699951,1137.800049,1142.300049,1142.300049,1038
2014-11-07,1139.900024,1171.000000,1133.000000,1161.099976,1161.099976,313
2014-11-14,1155.199951,1198.300049,1148.000000,1190.699951,1190.699951,1575
2014-11-21,1191.000000,1202.400024,1189.000000,1196.599976,1196.599976,210793
2014-11-28,1197.000000,1220.400024,1141.699951,1207.500000,1207.500000,93672
2014-12-05,1203.099976,1238.000000,1186.699951,1225.099976,1225.099976,1721
2014-12-12,1227.800049,1227.800049,1184.000000,1194.699951,1194.699951,861
2014-12-19,1198.000000,1200.800049,1172.699951,1173.500000,1173.500000,748
2014-12-26,1177.199951,1210.300049,1177.199951,1183.900024,1183.900024,518
2015-01-02,1184.000000,1220.000000,1169.500000,1208.400024,1208.400024,826
2015-01-09,1211.099976,1265.000000,1210.300049,1264.699951,1264.699951,276
2015-01-16,1256.099976,1303.500000,1256.099976,1300.699951,1300.699951,409
2015-01-23,1299.800049,1299.800049,1251.000000,1254.599976,1254.599976,180587
2015-01-30,1258.000000,1284.699951,1255.300049,1262.000000,1262.000000,81311
2015-02-06,1265.000000,1267.599976,1217.900024,1220.099976,1220.099976,1217
2015-02-13,1222.199951,1234.000000,1197.800049,1207.099976,1207.099976,515
2015-02-20,1206.500000,1219.000000,1191.599976,1209.599976,1209.599976,1105
2015-02-27,1207.699951,1222.699951,1195.000000,1195.900024,1195.900024,957
